,time,open_cnt,c_cnt
1949,2016-07-27 13:14:00,12,15
1950,2016-07-27 13:15:00,15,12
1951,2016-07-27 13:16:00,16,11
1952,2016-07-27 13:17:00,22,20
1953,2016-07-27 13:18:00,16,18
1954,2016-07-27 13:19:00,14,17
1955,2016-07-27 13:20:00,18,17
1956,2016-07-27 13:21:00,30,19
1957,2016-07-27 13:22:00,14,21
1958,2016-07-27 13:23:00,13,14
1959,2016-07-27 13:24:00,17,15
1960,2016-07-27 13:25:00,15,20
1961,2016-07-27 13:26:00,12,21
1962,2016-07-27 13:27:00,11,13
1963,2016-07-27 13:28:00,22,10
1964,2016-07-27 13:29:00,14,22
1965,2016-07-27 13:30:00,14,19
1966,2016-07-27 13:31:00,14,11
1967,2016-07-27 13:32:00,14,20
1968,2016-07-27 13:33:00,18,20
1969,2016-07-27 13:34:00,13,21
1970,2016-07-27 13:35:00,15,10
1971,2016-07-27 13:36:00,17,22
1972,2016-07-27 13:37:00,23,16
1973,2016-07-27 13:38:00,17,16
1974,2016-07-27 13:39:00,24,14
1975,2016-07-27 13:40:00,17,19
1976,2016-07-27 13:41:00,19,20
1977,2016-07-27 13:42:00,16,13
1978,2016-07-27 13:43:00,18,17
1979,2016-07-27 13:44:00,24,16
1980,2016-07-27 13:45:00,17,18
1981,2016-07-27 13:46:00,14,9
1982,2016-07-27 13:47:00,12,13
1983,2016-07-27 13:48:00,21,20
1984,2016-07-27 13:49:00,18,15
1985,2016-07-27 13:50:00,16,15
1986,2016-07-27 13:51:00,14,15
1987,2016-07-27 13:52:00,15,22
1988,2016-07-27 13:53:00,16,15
1989,2016-07-27 13:54:00,18,14
1990,2016-07-27 13:55:00,17,18
1991,2016-07-27 13:56:00,9,14
1992,2016-07-27 13:57:00,12,20
1993,2016-07-27 13:58:00,19,18
1994,2016-07-27 13:59:00,24,8
1995,2016-07-27 14:00:00,19,16
1996,2016-07-27 14:01:00,12,17
1997,2016-07-27 14:02:00,15,9
1998,2016-07-27 14:03:00,17,19
1999,2016-07-27 14:04:00,14,15
2000,2016-07-27 14:05:00,21,9
2001,2016-07-27 14:06:00,21,19
2002,2016-07-27 14:07:00,22,13
2003,2016-07-27 14:08:00,15,13
2004,2016-07-27 14:09:00,13,14
2005,2016-07-27 14:10:00,21,6
2006,2016-07-27 14:11:00,21,16
2007,2016-07-27 14:12:00,12,25
2008,2016-07-27 14:13:00,20,21
2009,2016-07-27 14:14:00,13,15
2010,2016-07-27 14:15:00,17,16
2011,2016-07-27 14:16:00,12,14
2012,2016-07-27 14:17:00,14,20
2013,2016-07-27 14:18:00,16,16
2014,2016-07-27 14:19:00,22,16
2015,2016-07-27 14:20:00,21,23
2016,2016-07-27 14:21:00,14,21
2017,2016-07-27 14:22:00,13,22
2018,2016-07-27 14:23:00,12,19
2019,2016-07-27 14:24:00,22,19
2020,2016-07-27 14:25:00,16,19
2021,2016-07-27 14:26:00,17,18
2022,2016-07-27 14:27:00,15,21
2023,2016-07-27 14:28:00,13,11
2024,2016-07-27 14:29:00,19,19
2025,2016-07-27 14:30:00,18,25
2026,2016-07-27 14:31:00,13,19
2027,2016-07-27 14:32:00,12,13
2028,2016-07-27 14:33:00,15,18
2029,2016-07-27 14:34:00,27,6
2030,2016-07-27 14:35:00,25,16
2031,2016-07-27 14:36:00,17,20
2032,2016-07-27 14:37:00,11,22
